,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final,Valor_Unitario_Num,Valor Custo
0,65014,2023-12-01,Loja Porto Alegre,Kit Teclado e Mouse Sem Fio,5,114,570,114,85.07
1,65014,2023-12-01,Loja Porto Alegre,Mouse sem Fio Microsoft,1,269,269,269,168.28
2,65016,2023-12-01,Loja São Paulo 2,Mouse Pad Colorido,2,363,726,363,148.97
3,65016,2023-12-01,Loja São Paulo 2,Mouse sem Fio Microsoft,1,250,250,250,156.4
4,65017,2023-12-01,Loja Fortaleza,Teclado sem Fio Megaware,3,92,276,92,68.63
5,65018,2023-12-01,Loja São Paulo 1,Teclado sem Fio Multi,1,66,66,66,41.49
6,65018,2023-12-01,Loja São Paulo 1,Kit Teclado e Mouse Sem Fio,1,116,116,116,86.56
7,65018,2023-12-01,Loja São Paulo 1,Mouse sem Fio Microsoft,1,269,269,269,168.28
8,65019,2023-12-01,Loja Rio de Janeiro 2,HD SSD Maxtel 750 Gb,2,142,284,142,130.25
9,65019,2023-12-01,Loja Rio de Janeiro 2,Kit Teclado e Mouse Sem Fio,1,294,294,294,219.4
10,65020,2023-12-01,Loja Porto Alegre,HD SSD Maxtel 750 Gb,4,79,316,79,72.47
11,65020,2023-12-01,Loja Porto Alegre,Mesa Digitalizadora,5,200,1000,200,142.16
12,65020,2023-12-01,Loja Porto Alegre,HD SSD Kingston 1 Tb,2,108,216,108,96.3
13,65024,2023-12-01,Loja São Paulo 3,Mesa Digitalizadora,2,196,392,196,139.31
14,65025,2023-12-01,Loja São Paulo 2,Fone de Ouvido Bluetooth HP,5,185,925,185,125.19
15,65025,2023-12-01,Loja São Paulo 2,Mouse Pad Colorido,1,102,102,102,41.86
16,65025,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,1,37,37,37,33.94
17,65027,2023-12-01,Loja São Paulo 1,Mouse Pad Colorido,1,218,218,218,89.46
18,65028,2023-12-01,Loja São Paulo 2,Mouse Pad Colorido,5,350,1750,350,143.63
19,65028,2023-12-01,Loja São Paulo 2,HD SSD Maxtel 750 Gb,1,87,87,87,79.8
20,65030,2023-12-01,Loja Natal,Mouse Pad Colorido,1,216,216,216,88.64
21,65030,2023-12-01,Loja Natal,HD SSD Kingston 1 Tb,1,107,107,107,95.41
22,65031,2023-12-01,Loja Rio de Janeiro 1,HD SSD Maxtel 750 Gb,4,38,152,38,34.86
23,65032,2023-12-01,Loja Natal,Kit Teclado e Mouse Sem Fio,2,100,200,100,74.62
24,65032,2023-12-01,Loja Natal,HD SSD Maxtel 750 Gb,3,87,261,87,79.8
25,65033,2023-12-01,Loja São Paulo 2,Mouse sem Fio Microsoft,1,256,256,256,160.15
26,65034,2023-12-01,Loja Rio de Janeiro 2,HD SSD Kingston 1 Tb,4,118,472,118,105.21
27,65034,2023-12-01,Loja Rio de Janeiro 2,Mouse Pad Colorido,5,391,1955,391,160.46
28,65036,2023-12-01,Loja Recife,Fone de Ouvido Bluetooth HP,1,170,170,170,115.04
29,65037,2023-12-01,Loja Rio de Janeiro 1,Kit Teclado e Mouse Sem Fio,1,709,709,709,529.09
30,65037,2023-12-01,Loja Rio de Janeiro 1,Teclado sem Fio Megaware,1,85,85,85,63.41
31,65037,2023-12-01,Loja Rio de Janeiro 1,Teclado sem Fio Multi,1,60,60,60,37.72
32,65037,2023-12-01,Loja Rio de Janeiro 1,Fone de Ouvido Bluetooth HP,1,211,211,211,142.78
33,65037,2023-12-01,Loja Rio de Janeiro 1,HD SSD Kingston 1 Tb,5,100,500,100,89.17
34,65038,2023-12-01,Loja Natal,Kit Teclado e Mouse Sem Fio,5,149,745,149,111.19
35,65039,2023-12-01,Loja São Paulo 1,HD SSD Maxtel 750 Gb,2,270,540,270,247.67
36,65040,2023-12-01,Loja Porto Alegre,Kit Teclado e Mouse Sem Fio,1,116,116,116,86.56
37,65040,2023-12-01,Loja Porto Alegre,Teclado sem Fio Megaware,4,93,372,93,69.38
38,65043,2023-12-01,Loja Blumenau,Mouse sem Fio Microsoft,1,250,250,250,156.4
39,65043,2023-12-01,Loja Blumenau,Mouse Pad Colorido,1,100,100,100,41.04
40,65043,2023-12-01,Loja Blumenau,Fone de Ouvido Bluetooth HP,5,170,850,170,115.04
41,65043,2023-12-01,Loja Blumenau,HD SSD Maxtel 750 Gb,3,41,123,41,37.61
